file,lines,types,ops,modules,lemmas,axioms,hoare_equiv
HAETAE_Security.ec,1272,0,1,0,40,0,0
Sig_ROM.ec,206,11,4,16,3,0,0
HAETAE_HopGames.ec,8817,1,40,62,247,0,88
HAETAE_Reductions.ec,504,0,26,0,50,0,0
HAETAE_ROM.ec,111,4,24,2,3,0,0
HAETAE_ROM_Programming.ec,1754,2,43,11,99,0,17
HAETAE_Scheme.ec,66,7,2,1,0,0,0
HAETAE_Transcript.ec,660,1,51,0,35,0,0
HAETAE_Events.ec,57,0,4,0,4,0,0
HAETAE_Assumptions.ec,377,5,13,21,11,0,0
HAETAE_Distributions.ec,1218,2,64,0,97,0,0
HAETAE_Rejection.ec,2204,4,97,0,139,0,0
HAETAE_Algebra.ec,3885,20,246,0,282,0,0
HAETAE_Params.ec,113,1,17,0,19,0,0
HAETAE_FIPS202.ec,105,2,12,0,9,0,0
HAETAE_Keccak1600.ec,697,3,34,0,50,0,0
TOTAL,22046,63,678,113,1088,0,105
